1.239999, -1, 0, 5, 0, 0.0472799129079973615146, 1039.415, -511.6669, -5.557111, 0.000483026, 0.02479935, 41.30067, 0.3020116, 0.2679502, 0.0001962442
 
1.249999, 1, -0.01, 5, 0, 0.0477114641323116741140591162, 1021.085, -511.6669, -5.557111, 0.000483026, 0.02479935, 40.93559, 0.3020116, 0.2679502, 0.0001962442
 
1.259999, -1, 0, 5, 0, 0.0481470378625891286298, 1003.151, -511.6669, -5.557111, 0.000483026, 0.02479935, 40.57519, 0.3020116, 0.2679502, 0.0001962442
 
1.269999, 1, -0.01, 5, 0, 0.0485866196293841028273408838, 985.603, -511.6669, -5.557111, 0.000483026, 0.02479935, 40.21939, 0.3020116, 0.2679502, 0.0001962442
 
1.279999, -1, 0, 5, 0, 0.0490302239021426530245408838, 968.4293, -511.6669, -5.557111, 0.000483026, 0.02479935, 39.86811, 0.3020116, 0.2679502, 0.0001962442
 
1.289999, 1, -0.01, 5, 0, 0.0494776481086220164938, 951.6201, -511.6669, -5.557111, 0.000483026, 0.02479935, 39.52125, 0.3020116, 0.2679502, 0.0001962442
 
1.299999, -1, 0, 5, 0, 0.0499289356571594940219408838, 935.1641, -511.6669, -5.557111, 0.000483026, 0.02479935, 39.17869, 0.3020116, 0.2679502, 0.0001962442
 
1.309999, 1, -0.01, 5, 0, 0.05038405760886384114, 919.0529, -511.6669, -5.557111, 0.000483026, 0.02479935, 38.84036, 0.3020116, 0.2679502, 0.0001962442
 
1.319999, -1, 0, 5, 0, 0.050842883738721419154, 903.2769, -511.6669, -5.557111, 0.000483026, 0.02479935, 38.50618, 0.3020116, 0.2679502, 0.0001962442
 
1.329999, 1, -0.01, 5, 0, 0.0513054285161781396873408838, 887.8254, -511.6669, -5.557111, 0.000483026, 0.02479935, 38.17602, 0.3020116, 0.2679502, 0.0001962442
 
1.339999, -1, 0, 5, 0, 0.0517718511051394646808, 872.692, -511.6669, -5.557111, 0.000483026, 0.02479935, 37.84985, 0.3020116, 0.2679502, 0.0001962442
 
1.349999, 1, -0.01, 5, 0, 0.05224193446391628570, 857.8663, -511.6669, -5.557111, 0.000483026, 0.02479935, 37.52755, 0.3020116, 0.2679502, 0.0001962442
 
1.359999, -1, 0, 5, 0, 0.0527158956341974217904, 843.3411, -511.6669, -5.557111, 0.000483026, 0.02479935, 37.20907, 0.3020116, 0.2679502, 0.0001962442
 
1.369999, 1, -0.01, 5, 0, 0.0531935609826319334712, 829.1075, -511.6669, -5.557111, 0.000483026, 0.02479935, 36.8943, 0.3020116, 0.2679502, 0.0001962442
 
1.379999, -1, 0, 5, 0, 0.0536750896731248485998, 815.1588, -511.6669, -5.557111, 0.000483026, 0.02479935, 36.58319, 0.3020116, 0.2679502, 0.0001962442
 
1.389999, 1, -0.01, 5, 0, 0.0541603080723252276954, 801.4879, -511.6669, -5.557111, 0.000483026, 0.02479935, 36.27568, 0.3020116, 0.2679502, 0.0001962442
 
1.399999, -1, 0, 5, 0, 0.0546492306496789823814, 788.0869, -511.6669, -5.557111, 0.000483026, 0.02479935, 35.97167, 0.3020116, 0.2679502, 0.0001962442
 
1.409999, 1, -0.01, 5, 0, 0.0551420599774287306909408838, 774.9477, -511.6669, -5.557111, 0.000483026, 0.02479935, 35.67107, 0.3020116, 0.2679502, 0.0001962442
 
1.419999, -1, 0, 5, 0, 0.055638781586128995084, 762.0653, -511.6669, -5.557111, 0.000483026, 0.02479935, 35.37386, 0.3020116, 0.2679502, 0.0001962442
 
1.429999, 1, -0.01, 5, 0, 0.0561394099452252531006, 749.4334, -511.6669, -5.557111, 0.000483026, 0.02479935, 35.07997, 0.3020116, 0.2679502, 0.0001962442
 
1.439999, -1, 0, 5, 0, 0.0566439161158258261884, 737.0445, -511.6669, -5.557111, 0.000483026, 0.02479935, 34.78931, 0.3020116, 0.2679502, 0.0001962442
 
1.449999, 1, -0.01, 5, 0, 0.0571523724451601277699408838, 724.8926, -511.6669, -5.557111, 0.000483026, 0.02479935, 34.50182, 0.3020116, 0.2679502, 0.0001962442
 
1.459999, -1, 0, 5, 0, 0.0576647789332285919286, 712.973, -511.6669, -5.557111, 0.000483026, 0.02479935, 34.21747, 0.3020116, 0.2679502, 0.0001962442
 
1.469999, 1, -0.01, 5, 0, 0.0581812513355980775682, 701.2786, -511.6669, -5.557111, 0.000483026, 0.02479935, 33.93617, 0.3020116, 0.2679502, 0.0001962442
 
1.479999, -1, 0, 5, 0, 0.0587018619994982875002, 689.804, -511.6669, -5.557111, 0.000483026, 0.02479935, 33.65786, 0.3020116, 0.2679502, 0.0001962442
 
1.489999, 1, -0.01, 5, 0, 0.0592266543332669565948, 678.5445, -511.6669, -5.557111, 0.000483026, 0.02479935, 33.3825, 0.3020116, 0.2679502, 0.0001962442
 
1.499999, -1, 0, 5, 0, 0.0597554691729989123001408838, 667.4949, -511.6669, -5.557111, 0.000483026, 0.02479935, 33.11003, 0.3020116, 0.2679502, 0.0001962442
 
1.509999, 1, -0.01, 5, 0, 0.0602884367437076486157408838, 656.6499, -511.6669, -5.557111, 0.000483026, 0.02479935, 32.8404, 0.3020116, 0.2679502, 0.0001962442
 
1.519999, -1, 0, 5, 0, 0.0608257306787442497168591162, 646.0041, -511.6669, -5.557111, 0.000483026, 0.02479935, 32.57355, 0.3020116, 0.2679502, 0.0001962442
 
1.529999, 1, -0.01, 5, 0, 0.0613673220392161688844, 635.5537, -511.6669, -5.557111, 0.000483026, 0.02479935, 32.30944, 0.3020116, 0.2679502, 0.0001962442
 
1.539999, -1, 0, 5, 0, 0.0619132397640156634485408838, 625.2935, -511.6669, -5.557111, 0.000483026, 0.02479935, 32.04801, 0.3020116, 0.2679502, 0.0001962442
 
