===========================================
timestamp_ms,temp_c,pressure_pa,alt_m
149512,12.3134,100045.7,107.057
149666,12.3185,100038.7,107.6489
149818,12.32359,100039.6,107.5749
150543,12.3185,100038.7,107.6489
150744,12.32869,100045.7,107.0597
151563,12.32359,100042.2,107.3556
151700,12.32869,100040.4,107.5036
151839,12.33378,100041.3,107.4296
152563,12.33378,100046.6,106.9857
152705,12.33378,100041.3,107.4296
153556,12.33888,100044.8,107.1336
153697,12.34907,100046.6,106.9883
153838,12.34397,100043.1,107.2816
154579,12.33888,100042.2,107.3556
154726,12.34397,100050.9,106.6184
155570,12.34397,100040.4,107.5036
155728,12.34907,100051.8,106.5444
155875,12.35926,100043.1,107.2816
156583,12.35926,100043.1,107.2816
156737,12.34907,100036.0,107.8708
157555,12.35926,100043.1,107.2816
157708,12.35926,100045.7,107.0597
157861,12.35926,100045.7,107.0597
158528,12.35926,100043.1,107.2816
158685,12.36945,100036.9,107.7969
158855,12.36945,100042.2,107.3556
159527,12.36945,100042.2,107.3556
159686,12.36945,100044.8,107.1336
159845,12.37454,100037.8,107.7255
160533,12.37454,100040.4,107.5036
160669,12.36945,100042.2,107.3556
160812,12.36945,100044.8,107.1336
161525,12.37454,100037.8,107.7255
161669,12.37964,100038.7,107.6489
161815,12.37964,100038.7,107.6489
162574,12.37964,100043.9,107.2076
162724,12.37964,100038.7,107.6489
163577,12.38983,100037.8,107.7255
163731,12.38983,100040.4,107.5036
164594,12.40001,100036.9,107.7995
164756,12.38983,100037.8,107.7255
165595,12.4102,100043.9,107.2103
165743,12.40511,100040.4,107.5036
166542,12.4102,100038.6,107.6515
166696,12.40511,100037.8,107.7255
166852,12.4102,100038.6,107.6515
167601,12.40001,100036.9,107.7995
167757,12.4102,100043.9,107.2103
168546,12.40511,100037.8,107.7255
168708,12.4102,100038.6,107.6515
168870,12.4102,100033.4,108.0954
169542,12.4153,100034.3,108.0214
169767,12.42549,100036.0,107.8735
170569,12.42039,100037.8,107.7255
170778,12.42549,100036.0,107.8735
171570,12.42549,100033.4,108.0954
171715,12.43058,100036.9,107.7995
172576,12.43058,100036.9,107.7995
172721,12.43568,100040.4,107.5036
172872,12.43568,100037.8,107.7255
173533,12.44077,100033.4,108.0954
173686,12.43568,100035.1,107.9475
174559,12.44077,100033.4,108.0954
174715,12.44077,100036.0,107.8761
174876,12.44587,100039.5,107.5802
175531,12.43568,100035.1,107.9475
175692,12.44077,100038.6,107.6542
175858,12.45096,100040.4,107.5062
176534,12.44587,100034.3,108.0214
176693,12.45606,100036.0,107.8761
176854,12.45606,100033.4,108.0954
177531,12.46115,100036.9,107.8021
177699,12.45096,100040.4,107.5062
177859,12.46115,100036.9,107.8021
178541,12.46115,100036.9,107.8021
178754,12.47134,100036.0,107.8761
179568,12.47134,100041.3,107.4322
179718,12.46115,100039.5,107.5802
180581,12.47644,100039.5,107.5802
180709,12.48153,100035.1,107.9501
180834,12.47644,100034.2,108.0241
181571,12.46115,100034.3,108.0214
181700,12.46625,100035.1,107.9501
181832,12.47644,100034.2,108.0241
182529,12.47134,100036.0,107.8761
182663,12.48153,100040.4,107.5062
182809,12.48153,100037.8,107.7281
183564,12.48153,100040.4,107.5062
183698,12.49172,100036.9,107.7995
183840,12.47644,100031.6,108.246
184535,12.48663,100041.3,107.4322
184677,12.48153,100029.9,108.3914
184816,12.48663,100036.0,107.8761
185577,12.48153,100037.8,107.7281
185723,12.49682,100037.7,107.7281
185865,12.50701,100036.9,107.8021
186538,12.49172,100034.3,108.0214
186682,12.49682,100035.1,107.9501
186829,12.50701,100036.9,107.8021
187589,12.49172,100036.9,107.7995
187736,12.49682,100037.7,107.7281
188513,12.50191,100038.6,107.6542
188663,12.50701,100034.2,108.0241
188863,12.50701,100036.9,107.8021
189522,12.5121,100037.7,107.7281
189654,12.50191,100038.6,107.6542
189789,12.50701,100034.2,108.0241
190521,12.49172,100036.9,107.7995
190656,12.50701,100034.2,108.0241
190799,12.5121,100035.1,107.9501
191557,12.52229,100042.1,107.3609
191701,12.5121,100037.7,107.7281
191845,12.5121,100043.0,107.2869
192542,12.50701,100036.9,107.8021
192688,12.52229,100036.9,107.8021
192832,12.5172,100036.0,107.8761
193578,12.5121,100037.7,107.7281
193722,12.5172,100036.0,107.8761
193872,12.52229,100036.9,107.8021
194545,12.52229,100031.6,108.246
194694,12.52229,100036.9,107.8021
194846,12.52739,100035.1,107.9501
195546,12.53758,100034.2,108.0241
195701,12.53248,100041.2,107.4349
195857,12.53758,100034.2,108.0241
196590,12.52229,100036.9,107.8021
196740,12.53758,100042.1,107.3609
197555,12.53248,100041.2,107.4349
197689,12.54267,100037.7,107.7308
197825,12.53758,100036.9,107.8021
198520,12.53758,100031.6,108.246
198661,12.53758,100031.6,108.246
198809,12.53758,100031.6,108.246
199563,12.55796,100032.5,108.1747
199723,12.54267,100032.5,108.1747
199870,12.54267,100029.8,108.394
200543,12.54777,100030.7,108.3227
200689,12.55286,100036.8,107.8048
200838,12.55796,100029.8,108.394
201567,12.55286,100031.6,108.246
201717,12.55796,100035.1,107.9527
201868,12.56305,100030.7,108.32
202538,12.56815,100039.5,107.5828
202689,12.56305,100038.6,107.6568
202843,12.55796,100032.5,108.1747
203583,12.56305,100033.3,108.0981
203740,12.56815,100039.5,107.5828
204520,12.56305,100041.2,107.4349
204676,12.57324,100035.1,107.9527
204838,12.57324,100040.3,107.5088
205550,12.57324,100037.7,107.7308
205709,12.57834,100038.6,107.6568
206531,12.56305,100038.6,107.6568
206674,12.57834,100033.3,108.1007
206818,12.58343,100042.1,107.3635
207570,12.56815,100029.0,108.468
207721,12.58343,100028.9,108.4706
207866,12.58853,100027.2,108.616
208526,12.58343,100026.3,108.6899
208674,12.58853,100024.6,108.8379
208826,12.58853,100027.2,108.616
209574,12.58343,100026.3,108.6899
209728,12.58853,100027.2,108.616
209880,12.59362,100025.4,108.7639
210536,12.59362,100033.3,108.1007
210694,12.59362,100030.7,108.3227
210848,12.59871,100031.6,108.2487
211587,12.59362,100038.6,107.6568
211745,12.58853,100032.5,108.1747
212517,12.59871,100039.5,107.5855
212676,12.59362,100036.0,107.8788
212839,12.6089,100035.9,107.8788
213553,12.6089,100035.9,107.8788
213716,12.59871,100034.2,108.0267
213879,12.6089,100038.6,107.6568
214526,12.60381,100029.8,108.3966
214690,12.6089,100035.9,107.8788
215546,12.6089,100041.2,107.4375
215697,12.6089,100030.7,108.3227
215844,12.614,100034.2,108.0267
216530,12.60381,100040.3,107.5088
216678,12.62419,100043.8,107.2155
216841,12.61909,100035.1,107.9554
217569,12.614,100034.2,108.0267
217720,12.62419,100038.6,107.6594
217871,12.61909,100027.2,108.6186
218539,12.62419,100033.3,108.1007
218692,12.62928,100036.8,107.8074
218847,12.63947,100033.3,108.1034
219548,12.61909,100037.7,107.7334
219708,12.62419,100033.3,108.1007
219870,12.62419,100033.3,108.1007
220532,12.62928,100039.4,107.5855
220692,12.63438,100040.3,107.5115
220851,12.63947,100035.9,107.8814
221525,12.62419,100038.6,107.6594
221740,12.62928,100034.2,108.0294
222527,12.63438,100035.1,107.9554
222682,12.63947,100033.3,108.1034
222829,12.63947,100030.7,108.3253
223562,12.64457,100028.9,108.4706
223712,12.64966,100035.0,107.9554
224614,12.64966,100037.7,107.7334
224742,12.64966,100035.0,107.9554
224874,12.65985,100034.2,108.0294
225544,12.65985,100034.2,108.0294
225672,12.66495,100035.0,107.9554
225805,12.65476,100033.3,108.1034
226537,12.65476,100035.9,107.8814
226667,12.65985,100034.2,108.0294
226803,12.65476,100030.6,108.3253
227577,12.65476,100035.9,107.8814
227714,12.66495,100035.0,107.9554
227856,12.66495,100037.7,107.7361
228520,12.65985,100028.9,108.4733
228659,12.66495,100035.0,107.9554
228802,12.66495,100035.0,107.9554
229542,12.65985,100042.0,107.3662
229686,12.67514,100042.1,107.3662
229838,12.67004,100030.6,108.3253
230517,12.67004,100033.3,108.1034
230666,12.68533,100033.3,108.1034
230816,12.68023,100037.7,107.7334
231559,12.67004,100030.6,108.3253
231710,12.67514,100034.2,108.0294
232558,12.67004,100035.9,107.884
232712,12.68533,100038.6,107.6594
232869,12.68533,100033.3,108.1034
233532,12.68533,100038.6,107.6594
233682,12.68533,100038.6,107.6594
233816,12.69042,100034.2,108.0294
234534,12.69042,100036.8,107.8074
234671,12.69042,100034.2,108.0294
234807,12.69552,100037.7,107.7361
235583,12.68533,100033.3,108.1034
235723,12.69552,100035.0,107.958
236518,12.68533,100025.4,108.7666
236667,12.69552,100029.8,108.3993
236824,12.69552,100032.4,108.1773
237557,12.69552,100032.4,108.1773
237712,12.69552,100032.4,108.1773
237859,12.70571,100039.4,107.5881
238527,12.70061,100041.2,107.4401
238677,12.70571,100036.8,107.8101
238827,12.7108,100032.4,108.18
239561,12.70061,100030.6,108.3253
239716,12.70571,100023.6,108.9172
240554,12.70571,100028.9,108.4733
240707,12.7108,100027.1,108.6212
240862,12.7108,100027.1,108.6212
